"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.ssr_history_lost_amt","0","","0","0"
"meas.ssr_history_mgmt_avg_won_amt_per_rep_diff","0","","0","0"
"meas.ssr_history_mgmt_expected_win_amt_diff","0","","0","0"
"meas.ssr_history_mgmt_leads_gen_conv_rate_diff","0","","0","0"
"meas.ssr_history_mgmt_leads_gen_count_diff","0","","0","0"
"meas.ssr_history_mgmt_leads_gen_time_diff","0","","0","0"
"meas.ssr_history_mgmt_pipeline_amt_diff","0","","0","0"
"meas.ssr_history_mgmt_pipeline_avg_amt_diff","0","","0","0"
"meas.ssr_history_mgmt_pipeline_avg_win_prob_diff","0","","0","0"
"meas.ssr_history_mgmt_pipeline_count_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_leads_gen_conv_rate","0","","0","0"
"meas.ssr_history_mgmt_rpt_leads_gen_count","0","","0","0"
"meas.ssr_history_mgmt_rpt_next_step_bucket","0","","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_mtd_sply_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_qtd_sply_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_ytd_sply_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_mtd_sply_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_qtd_sply_diff","0","","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_ytd_sply_diff","0","","0","0"
"meas.ssr_history_mkt_leads_probability_of_conversion","0","","0","0"
"meas.ssr_history_mkt_leads_touched","0","","0","0"
"meas.ssr_history_mrr_won_amt","0","","0","0"
"meas.ssr_history_mrr_won_amt_existing_customer_selling","0","","0","0"
"meas.ssr_history_mrr_won_amt_new_logo","0","","0","0"
"meas.ssr_history_new_logo_existing_customer_pipeline_amt","0","","0","0"
"meas.ssr_history_not_sales_engineer_success_prob_avg","0","","0","0"
"meas.ssr_history_open_leads_accts_propensity_tier","0","","0","0"
"meas.ssr_history_open_leads_accts_stkhlds_act_count","0","","0","0"
"meas.ssr_history_open_leads_accts_stkhlds_contact_count","0","","0","0"
"meas.ssr_history_open_leads_accts_total_dur","0","","0","0"
"meas.ssr_history_open_pipeline_amount_eop","0","","0","0"
"meas.ssr_history_open_pipeline_count_eop_sply","0","","0","0"
"meas.ssr_history_open_pipeline_success_count_eop","0","","0","0"
"meas.ssr_history_open_pipeline_win_rate_sply","0","","0","0"
"meas.ssr_history_opps_rev_avg_won_amt","0","","0","0"
"meas.ssr_history_opps_step_cycle_avg_success","0","","0","0"
"meas.ssr_history_owner_full_name","0","","0","0"
"meas.ssr_history_owner_group","0","","0","0"
"meas.ssr_history_pipeline_amt_user_eop_avg","0","","0","0"
"meas.ssr_history_pipeline_post_sales_amt","0","","0","0"
"meas.ssr_history_pipeline_post_sales_expansion_sale_amt","0","","0","0"
"meas.ssr_history_pipeline_post_sales_renewals_amt","0","","0","0"
"meas.ssr_history_pipeline_prospecting_amt","0","","0","0"
"meas.ssr_history_propensity_high_count","0","","0","0"
"meas.ssr_history_propensity_highest_count","0","","0","0"
"meas.ssr_history_propensity_low_count","0","","0","0"
"meas.ssr_history_propensity_lowest_count","0","","0","0"
"meas.ssr_history_propensity_mid_count","0","","0","0"
"meas.ssr_history_rep_users_avg","0","","0","0"
"meas.ssr_history_reps_mtd","0","","0","0"
"meas.ssr_history_reps_new_logo","0","","0","0"
"meas.ssr_history_rev_acct_ltv","0","","0","0"
"meas.ssr_history_rev_avg_won_amt_existing_customer_selling","0","","0","0"
"meas.ssr_history_rev_avg_won_amt_new_logo","0","","0","0"
"meas.ssr_history_rev_cagr","0","","0","0"
"meas.ssr_history_rev_churned_avg_age_months","0","","0","0"
"meas.ssr_history_rev_ending_avg_acct_amt","0","","0","0"
"meas.ssr_history_rev_ending_max_acct_amt","0","","0","0"
"meas.ssr_history_rev_new_growth_rate","0","","0","0"
"meas.ssr_history_rev_pareto_percentage_remaining","0","","0","0"
"meas.ssr_history_rev_period_growth_rate","0","","0","0"
"meas.ssr_history_rev_prev_date","0","","0","0"
"meas.ssr_history_rev_retained_avg_acct_age","0","","0","0"
"meas.ssr_history_rev_retention_rate","0","","0","0"
"meas.ssr_history_row_filler","0","","0","0"
"meas.ssr_history_sales_engineer_success_prob_avg","0","","0","0"
"meas.ssr_history_sales_leads_probability_of_conversion_text","0","","0","0"
"meas.ssr_history_sel_date_card_count","0","","0","0"
"meas.ssr_history_sel_date_count","0","","0","0"
"meas.ssr_history_sel_date_count2","0","","0","0"
"meas.ssr_history_sel_date_count3","0","","0","0"
"meas.ssr_history_sel_date_count4","0","","0","0"
"meas.ssr_history_sel_date_most_recent_start_date","0","","0","0"
"meas.ssr_history_sel_date_pipeline_generated","0","","0","0"
"meas.ssr_history_stakeholders_most_common_first_act","0","","0","0"
"meas.ssr_history_stakeholders_title_function_most_common","0","","0","0"
"meas.ssr_history_stakeholders_title_function_most_common_portion","0","","0","0"
"meas.ssr_history_stakeholders_title_function_second_common","0","","0","0"
"meas.ssr_history_stakeholders_title_function_second_common_portion","0","","0","0"
"meas.ssr_history_stakeholders_title_level__most_common_highest","0","","0","0"
"meas.ssr_history_stakeholders_title_level__most_common_highest_portion","0","","0","0"
"meas.ssr_history_stakeholders_title_level_most_common","0","","0","0"
"meas.ssr_history_stakeholders_title_level_most_common_portion","0","","0","0"
"meas.ssr_history_stakeholders_title_level_second_common","0","","0","0"
"meas.ssr_history_stakeholders_title_level_second_common_portion","0","","0","0"
"meas.ssr_history_step_count_prospecting","0","","0","0"
"meas.ssr_history_step_count_sply","0","","0","0"
"meas.ssr_history_step_count_sply_diff","0","","0","0"
"meas.ssr_history_step_cycle_avg_failure","0","","0","0"
"meas.ssr_history_step_cycle_avg_success","0","","0","0"
"meas.ssr_history_step_cycle_initially_expected","0","","0","0"
"meas.ssr_history_step_outcome","0","","0","0"
"meas.ssr_history_step_owner_full_name_with_acl","0","","0","0"
"meas.ssr_history_step_post_sales_count","0","","0","0"
"meas.ssr_history_step_success_count_false","0","","0","0"
"meas.ssr_history_step_success_count_true","0","","0","0"
"meas.ssr_history_step_success_prob","0","","0","0"
"meas.ssr_history_step_users_tot","0","","0","0"
"meas.ssr_history_success_count_for_new_logo_and_existing_customer_selling","0","","0","0"
"meas.ssr_history_success_count_new_logo_pros","0","","0","0"
"meas.ssr_history_success_count_post_sales","0","","0","0"
"meas.ssr_history_success_count_prospecting_inbound","0","","0","0"
"meas.ssr_history_success_count_untouched","0","","0","0"
"meas.ssr_history_success_prob_avg_combined_post_sales_existing_customer_selling","0","","0","0"
"meas.ssr_history_success_prob_avg_combined_prospecting_new_logo","0","","0","0"
"meas.ssr_history_success_prob_avg_combined_prospecting_post_sales_support_sply","0","","0","0"
"meas.ssr_history_success_prob_avg_existing_customer_selling","0","","0","0"
"meas.ssr_history_success_prob_avg_new_logo","0","","0","0"
"meas.ssr_history_success_prob_avg_post_sales","0","","0","0"
"meas.ssr_history_success_prob_leadgen_conversion_rate","0","","0","0"
"meas.ssr_history_success_rate_combined_new_logo_and_existing_customer_selling","0","","0","0"
"meas.ssr_history_success_rate_combined_post_sales_existing_customer_selling","0","","0","0"
"meas.ssr_history_success_rate_combined_prospecting_new_logo","0","","0","0"
"meas.ssr_history_success_rate_mkt_prospecting_inbound","0","","0","0"
