"measure","inbound_measure_refs","dependent_measures","report_refs","visual_refs"
"meas.KPI 1","8","meas.getHeatmapKPI1_formula_used; meas.heatmap_details_KPI 1_value; meas.heatmap_details_kpi1_calculation; meas.how_kpi1_calculated; meas.how_kpi1_score_calculation; meas.KPI 1_score; meas.KPI 1_value_cy; meas.KPI 1_value_sply","0","0"
"meas.KPI 1_score","9","meas.getHeatmapKPI1_formula_used; meas.getHeatmapRawScore; meas.heatmap_details_KPI 1_Score_value; meas.how_kpi1_score_calculation; meas.hypothesis_final_score; meas.KPI 1_Score_change_pct; meas.KPI 1_score_cy; meas.KPI 1_score_sply","0","0"
"meas.KPI 1_Score_change_pct","0","","0","0"
"meas.KPI 1_score_cy","5","meas.heatmap_details_kpi1_score_trend_calculation; meas.KPI 1_score_cy_5q; meas.KPI 1_score_delta; meas.kpi1_score_cy; meas.kpi1_score_last_3_month","0","0"
"meas.KPI 1_score_cy_5q","0","","0","0"
"meas.KPI 1_score_delta","5","meas.heatmap_details_kpi1_score_trend_calculation; meas.kpi_combined_score; meas.kpi_combined_score_calculation; meas.kpi_score_combined_text; meas.kpi1_score_change_text","0","0"
"meas.KPI 1_score_sply","3","meas.heatmap_details_kpi1_score_trend_calculation; meas.KPI 1_score_delta; meas.kpi1_score_last_3_prior_month","0","0"
"meas.KPI 1_value_cy","2","meas.heatmap_details_kpi1_value_trend; meas.KPI 1_value_delta","0","0"
"meas.KPI 1_value_delta","2","meas.kpi1_value_delta_concatenated; meas.kpi1_value_delta_top","0","0"
"meas.KPI 1_value_sply","2","meas.heatmap_details_kpi1_value_trend; meas.KPI 1_value_delta","0","0"
"meas.KPI 1Denominator","3","meas.heatmap_details_KPI 1_denominator_value; meas.heatmap_details_kpi1_calculation; meas.how_kpi1_calculated","0","0"
"meas.KPI 1Denominator_Value","1","meas.KPI 1","0","0"
"meas.KPI 1Nominator","3","meas.heatmap_details_KPI 1_nominator_value; meas.heatmap_details_kpi1_calculation; meas.how_kpi1_calculated","0","0"
"meas.KPI 1Nominator_Value","1","meas.KPI 1","0","0"
"meas.KPI 1Weight","1","meas.check_kpi1_kpi2_weight","0","0"
"meas.KPI 2","7","meas.heatmap_details_KPI 2_value; meas.heatmap_details_kpi2_calculation; meas.how_kpi2_calculated; meas.how_kpi2_score_calculation; meas.KPI 2_score; meas.KPI 2_value_cy; meas.KPI 2_value_sply","0","0"
"meas.KPI 2_score","8","meas.getHeatmapRawScore; meas.heatmap_details_KPI 2_Score_value; meas.how_kpi2_score_calculation; meas.hypothesis_final_score; meas.KPI 2_Score_change_pct; meas.KPI 2_score_cy; meas.KPI 2_score_sply","0","0"
"meas.KPI 2_Score_change_pct","0","","0","0"
"meas.KPI 2_score_cy","5","meas.getKP2_Score_chng; meas.heatmap_details_kpi2_score_trend_calculation; meas.KPI 2_score_cy_5q; meas.KPI 2_score_delta; meas.kpi2_score_last_3_month","0","0"
"meas.KPI 2_score_cy_5q","0","","0","0"
"meas.KPI 2_score_delta","5","meas.heatmap_details_kpi2_score_trend_calculation; meas.kpi_combined_score; meas.kpi_combined_score_calculation; meas.kpi_score_combined_text; meas.kpi2_score_change_text","0","0"
"meas.KPI 2_score_sply","4","meas.getKP2_Score_chng; meas.heatmap_details_kpi2_score_trend_calculation; meas.KPI 2_score_delta; meas.kpi2_score_last_3_prior_month","0","0"
"meas.KPI 2_value_cy","2","meas.heatmap_details_kpi2_value_trend; meas.KPI 2_value_delta","0","0"
"meas.KPI 2_value_delta","2","meas.kpi2_value_delta_concatenated; meas.kpi2_value_delta_top","0","0"
"meas.KPI 2_value_sply","2","meas.heatmap_details_kpi2_value_trend; meas.KPI 2_value_delta","0","0"
"meas.KPI 2Denominator","4","meas.heatmap_details_KPI 2_denominator_value; meas.heatmap_details_kpi2_calculation; meas.how_kpi2_calculated; meas.how_kpi2_component_considered","0","0"
"meas.KPI 2Denominator_Value","1","meas.KPI 2","0","0"
"meas.KPI 2Nominator","4","meas.heatmap_details_KPI 2_nominator_value; meas.heatmap_details_kpi2_calculation; meas.how_kpi2_calculated; meas.how_kpi2_component_considered","0","0"
"meas.KPI 2Nominator_Value","1","meas.KPI 2","0","0"
"meas.KPI 2Weight","2","meas.check_kpi1_kpi2_weight; meas.heatmap_details_kpi2_weight_value","0","0"
"meas.kpi_combined_score","9","meas.combined_score_concatenated; meas.combined_score_top; meas.combined_score_top_w_text; meas.loading","0","0"
"meas.kpi_combined_score_calculation","0","","0","0"
"meas.kpi_score_combined_text","0","","0","0"
"meas.KPI1_AI_score_bucket","2","meas.ai_score_kpi1; meas.kpi1_ai_score_trust","0","0"
"meas.kpi1_ai_score_trust","0","","0","0"
"meas.kpi1_ai_score_trust_value","5","meas.ai_score_kpi1; meas.getHeatmapKPI_AIScore; meas.heatmap_trust_data_pi; meas.KPI1_AI_score_bucket; meas.kpi1_ai_score_trust","0","0"
"meas.kpi1_score_change_text","0","","0","0"
"meas.kpi1_score_cy","0","","0","0"
"meas.kpi1_score_last_3_month","0","","0","0"
"meas.kpi1_score_last_3_prior_month","0","","0","0"
"meas.kpi1_value_delta_concatenated","1","meas.kpi1_value_delta_top","0","0"
"meas.kpi1_value_delta_top","0","","0","0"
"meas.KPI2_AI_score_bucket","2","meas.ai_score_kpi2; meas.kpi2_ai_score_trust","0","0"
"meas.kpi2_ai_score_trust","0","","0","0"
"meas.kpi2_ai_score_trust_value","5","meas.ai_score_kpi2; meas.getHeatmapKPI_AIScore; meas.heatmap_trust_data_pi; meas.KPI2_AI_score_bucket; meas.kpi2_ai_score_trust","0","0"
"meas.kpi2_score_change_text","0","","0","0"
"meas.kpi2_score_last_3_month","0","","0","0"
"meas.kpi2_score_last_3_prior_month","0","","0","0"
"meas.kpi2_value_delta_concatenated","1","meas.kpi2_value_delta_top","0","0"
"meas.kpi2_value_delta_top","0","","0","0"
"meas.loading","0","","0","0"
"meas.stakeholder_num_flag","1","meas.heatmap_combined_record_count_flag","0","0"
"meas.trueai_kpi1_max","4","meas.getHeatmapKPI1_formula_used; meas.heatmap_details_kpi1_score_calculation; meas.how_kpi1_score_calculation; meas.KPI 1_score","0","0"
"meas.trueai_kpi1_min","4","meas.getHeatmapKPI1_formula_used; meas.heatmap_details_kpi1_score_calculation; meas.how_kpi1_score_calculation; meas.KPI 1_score","0","0"
"meas.trueai_kpi1_ref_value","6","meas.getHeatmapKPI1_formula_used; meas.heatmap_details_kpi1_score_calculation; meas.how_kpi1_score_calculation; meas.KPI 1_score; meas.kpi1_value_delta_concatenated; meas.kpi1_value_delta_top","0","0"
"meas.trueai_kpi1_sd","4","meas.getHeatmapKPI1_formula_used; meas.heatmap_details_kpi1_score_calculation; meas.how_kpi1_score_calculation; meas.KPI 1_score","0","0"
"meas.trueai_kpi2_max","4","meas.heatmap_details_kpi2_score_calculation; meas.how_kpi2_score_calculation; meas.KPI 2_score","0","0"
"meas.trueai_kpi2_min","4","meas.heatmap_details_kpi2_score_calculation; meas.how_kpi2_score_calculation; meas.KPI 2_score","0","0"
"meas.trueai_kpi2_ref_value","5","meas.heatmap_details_kpi2_score_calculation; meas.how_kpi2_score_calculation; meas.kpi2_value_delta_concatenated; meas.kpi2_value_delta_top","0","0"
"meas.trueai_kpi2_sd","3","meas.heatmap_details_kpi2_score_calculation; meas.how_kpi2_score_calculation","0","0"
