"measure","table","inbound_measure_refs","report_refs","visual_refs"
"meas.ssr_history_mgmt_expected_win_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_leads_gen_conv_rate_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_leads_gen_count_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_leads_gen_time_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_pipeline_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_pipeline_avg_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_pipeline_avg_win_prob_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_pipeline_count_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_leads_gen_conv_rate","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_leads_gen_count","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_next_step_bucket","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_pipeline_amt_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mgmt_rpt_won_amt_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_mkt_leads_probability_of_conversion","ssr_history","0","0","0"
"meas.ssr_history_mkt_leads_touched","ssr_history","0","0","0"
"meas.ssr_history_mrr_won_amt","ssr_history","0","0","0"
"meas.ssr_history_mrr_won_amt_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_mrr_won_amt_new_logo","ssr_history","0","0","0"
"meas.ssr_history_new_logo_existing_customer_pipeline_amt","ssr_history","0","0","0"
"meas.ssr_history_not_sales_engineer_success_prob_avg","ssr_history","0","0","0"
"meas.ssr_history_open_leads_accts_propensity_tier","ssr_history","0","0","0"
"meas.ssr_history_open_leads_accts_stkhlds_act_count","ssr_history","0","0","0"
"meas.ssr_history_open_leads_accts_stkhlds_contact_count","ssr_history","0","0","0"
"meas.ssr_history_open_leads_accts_total_dur","ssr_history","0","0","0"
"meas.ssr_history_open_pipeline_amount_eop","ssr_history","0","0","0"
"meas.ssr_history_open_pipeline_count_eop_sply","ssr_history","0","0","0"
"meas.ssr_history_open_pipeline_success_count_eop","ssr_history","0","0","0"
"meas.ssr_history_open_pipeline_win_rate_sply","ssr_history","0","0","0"
"meas.ssr_history_opps_rev_avg_won_amt","ssr_history","0","0","0"
"meas.ssr_history_opps_step_cycle_avg_success","ssr_history","0","0","0"
"meas.ssr_history_owner_full_name","ssr_history","0","0","0"
"meas.ssr_history_owner_group","ssr_history","0","0","0"
"meas.ssr_history_pipeline_amt_user_eop_avg","ssr_history","0","0","0"
"meas.ssr_history_pipeline_post_sales_amt","ssr_history","0","0","0"
"meas.ssr_history_pipeline_post_sales_expansion_sale_amt","ssr_history","0","0","0"
"meas.ssr_history_pipeline_post_sales_renewals_amt","ssr_history","0","0","0"
"meas.ssr_history_pipeline_prospecting_amt","ssr_history","0","0","0"
"meas.ssr_history_propensity_high_count","ssr_history","0","0","0"
"meas.ssr_history_propensity_highest_count","ssr_history","0","0","0"
"meas.ssr_history_propensity_low_count","ssr_history","0","0","0"
"meas.ssr_history_propensity_lowest_count","ssr_history","0","0","0"
"meas.ssr_history_propensity_mid_count","ssr_history","0","0","0"
"meas.ssr_history_rep_users_avg","ssr_history","0","0","0"
"meas.ssr_history_reps_mtd","ssr_history","0","0","0"
"meas.ssr_history_reps_new_logo","ssr_history","0","0","0"
"meas.ssr_history_rev_acct_ltv","ssr_history","0","0","0"
"meas.ssr_history_rev_avg_won_amt_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_rev_avg_won_amt_new_logo","ssr_history","0","0","0"
"meas.ssr_history_rev_cagr","ssr_history","0","0","0"
"meas.ssr_history_rev_churned_avg_age_months","ssr_history","0","0","0"
"meas.ssr_history_rev_churned_rate","ssr_history","0","0","0"
"meas.ssr_history_rev_ending_avg_acct_amt","ssr_history","0","0","0"
"meas.ssr_history_rev_ending_max_acct_amt","ssr_history","0","0","0"
"meas.ssr_history_rev_new_growth_rate","ssr_history","0","0","0"
"meas.ssr_history_rev_pareto_percentage_remaining","ssr_history","0","0","0"
"meas.ssr_history_rev_period_growth_rate","ssr_history","0","0","0"
"meas.ssr_history_rev_prev_date","ssr_history","0","0","0"
"meas.ssr_history_rev_retained_amt","ssr_history","0","0","0"
"meas.ssr_history_rev_retained_avg_acct_age","ssr_history","0","0","0"
"meas.ssr_history_rev_retained_avg_acct_amt","ssr_history","0","0","0"
"meas.ssr_history_rev_retained_count","ssr_history","0","0","0"
"meas.ssr_history_rev_retention_rate","ssr_history","0","0","0"
"meas.ssr_history_rev_starting_amount","ssr_history","0","0","0"
"meas.ssr_history_rev_starting_count","ssr_history","0","0","0"
"meas.ssr_history_row_filler","ssr_history","0","0","0"
"meas.ssr_history_sales_engineer_success_prob_avg","ssr_history","0","0","0"
"meas.ssr_history_sales_leads_probability_of_conversion_text","ssr_history","0","0","0"
"meas.ssr_history_sel_date_card_count","ssr_history","0","0","0"
"meas.ssr_history_sel_date_count","ssr_history","0","0","0"
"meas.ssr_history_sel_date_count2","ssr_history","0","0","0"
"meas.ssr_history_sel_date_count3","ssr_history","0","0","0"
"meas.ssr_history_sel_date_count4","ssr_history","0","0","0"
"meas.ssr_history_sel_date_most_recent_start_date","ssr_history","0","0","0"
"meas.ssr_history_sel_date_pipeline_generated","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_most_common_first_act","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_function_most_common","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_function_most_common_portion","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_function_second_common","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_function_second_common_portion","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level__most_common_highest","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level__most_common_highest_portion","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level_most_common","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level_most_common_portion","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level_second_common","ssr_history","0","0","0"
"meas.ssr_history_stakeholders_title_level_second_common_portion","ssr_history","0","0","0"
"meas.ssr_history_step_count_prospecting","ssr_history","0","0","0"
"meas.ssr_history_step_count_sply","ssr_history","0","0","0"
"meas.ssr_history_step_count_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_step_cycle_avg_failure","ssr_history","0","0","0"
"meas.ssr_history_step_cycle_avg_success","ssr_history","0","0","0"
"meas.ssr_history_step_cycle_initially_expected","ssr_history","0","0","0"
"meas.ssr_history_step_outcome","ssr_history","0","0","0"
"meas.ssr_history_step_owner_full_name_with_acl","ssr_history","0","0","0"
"meas.ssr_history_step_post_sales_count","ssr_history","0","0","0"
"meas.ssr_history_step_success_count_false","ssr_history","0","0","0"
"meas.ssr_history_step_success_count_true","ssr_history","0","0","0"
"meas.ssr_history_step_success_prob","ssr_history","0","0","0"
"meas.ssr_history_step_users_tot","ssr_history","0","0","0"
"meas.ssr_history_success_count_for_new_logo_and_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_success_count_new_logo_pros","ssr_history","0","0","0"
"meas.ssr_history_success_count_post_sales","ssr_history","0","0","0"
"meas.ssr_history_success_count_prospecting_inbound","ssr_history","0","0","0"
"meas.ssr_history_success_count_untouched","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_combined_post_sales_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_combined_prospecting_new_logo","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_combined_prospecting_post_sales_support_sply","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_new_logo","ssr_history","0","0","0"
"meas.ssr_history_success_prob_avg_post_sales","ssr_history","0","0","0"
"meas.ssr_history_success_prob_leadgen_conversion_rate","ssr_history","0","0","0"
"meas.ssr_history_success_rate_combined_new_logo_and_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_success_rate_combined_post_sales_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_success_rate_combined_prospecting_new_logo","ssr_history","0","0","0"
"meas.ssr_history_success_rate_mkt_prospecting_inbound","ssr_history","0","0","0"
"meas.ssr_history_success_rate_prospecting_inbound","ssr_history","0","0","0"
"meas.ssr_history_success_rate_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_success_rate_untouched","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_cross_sale_amt","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_downgrade_amt","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_expansion_amt","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_nd_amt","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_one_time_amt","ssr_history","0","0","0"
"meas.ssr_history_sum_opp_renewal_amt","ssr_history","0","0","0"
"meas.ssr_history_table_row_count","ssr_history","0","0","0"
"meas.ssr_history_target_abandoned_acct_count_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_abandoned_acct_count_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_abandoned_acct_count_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_acct_count","ssr_history","0","0","0"
"meas.ssr_history_target_acct_count_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_acct_count_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_acct_count_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_mtd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_qtd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_eng_time_spent_ytd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_mtd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_mtd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_mtd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_qtd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_qtd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_qtd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_ytd","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_ytd_sply","ssr_history","0","0","0"
"meas.ssr_history_target_acct_time_spent_ytd_sply_dif","ssr_history","0","0","0"
"meas.ssr_history_target_converted_acct_count_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_converted_acct_count_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_converted_acct_count_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_disqualified_acct_count_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_disqualified_acct_count_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_disqualified_acct_count_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_target_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_target_filter_screen","ssr_history","0","0","0"
"meas.ssr_history_target_latest_outcome","ssr_history","0","0","0"
"meas.ssr_history_target_propensity","ssr_history","0","0","0"
"meas.ssr_history_target_screen_step_outcome","ssr_history","0","0","0"
"meas.ssr_history_target_stkhlds_tot_count","ssr_history","0","0","0"
"meas.ssr_history_time_effort_conf","ssr_history","0","0","0"
"meas.ssr_history_time_effort_src","ssr_history","0","0","0"
"meas.ssr_history_top_250_leads","ssr_history","0","0","0"
"meas.ssr_history_total_all_dur_hrs","ssr_history","0","0","0"
"meas.ssr_history_touched_accounts_rate","ssr_history","0","0","0"
"meas.ssr_history_unique_reps_avg_count","ssr_history","0","0","0"
"meas.ssr_history_unique_reps_count_prospecting","ssr_history","0","0","0"
"meas.ssr_history_unsuccessful_count","ssr_history","0","0","0"
"meas.ssr_history_vi_value_created_per_hr","ssr_history","0","0","0"
"meas.ssr_history_vi_value_created_per_rep","ssr_history","0","0","0"
"meas.ssr_history_win_rate_diff","ssr_history","0","0","0"
"meas.ssr_history_won_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_won_amt_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_won_count_diff","ssr_history","0","0","0"
"meas.ssr_leads_time_to_touch_days","ssr_history","0","0","0"
"meas.ssr_open_lead_crm_leadsource","ssr_history","0","0","0"
"meas.ssr_open_leads_accts_name","ssr_history","0","0","0"
"meas.ssr_open_leads_accts_potential_acv","ssr_history","0","0","0"
